localidade,coluna_idx,valor
Sergipe,38,86.72
Sergipe,39,88.55
Sergipe,40,30.96
Sergipe,41,26.5
Sergipe,42,31.14
Sergipe,43,5.42
Sergipe,44,3.57
Sergipe,45,5.7
Bahia,1,24.61
Bahia,2,10.95
Bahia,3,25.84
Bahia,4,98.43
Bahia,5,92.31
Bahia,6,98.6
Bahia,7,85.77
Bahia,8,79.05
Bahia,9,86.01
Bahia,10,27.22
Bahia,11,27.73
Bahia,12,27.2
Bahia,13,5.41
Bahia,14,4.15
Bahia,15,5.55
Bahia,16,25.03
Bahia,17,11.95
Bahia,18,26.06
Bahia,19,98.27
Bahia,20,92.06
Bahia,21,98.46
Bahia,22,85.42
Bahia,23,75.2
Bahia,24,85.79
Bahia,25,26.3
Bahia,26,26.55
Bahia,27,26.29
Bahia,28,4.7
Bahia,29,3.8
Bahia,30,4.79
Bahia,31,24.22
Bahia,32,10.21
Bahia,33,25.64
Bahia,34,98.59
Bahia,35,92.61
Bahia,36,98.75
Bahia,37,86.12
Bahia,38,82.71
Bahia,39,86.25
Bahia,40,28.13
Bahia,41,28.77
Bahia,42,28.11
Bahia,43,6.03
Bahia,44,4.4
Bahia,45,6.24
Sudeste,1,22.67
Sudeste,2,10.76
Sudeste,3,23.58
Sudeste,4,98.44
Sudeste,5,93.44
Sudeste,6,98.56
Sudeste,7,85.44
Sudeste,8,79.9
Sudeste,9,85.62
Sudeste,10,27.11
Sudeste,11,26.45
Sudeste,12,27.14
Sudeste,13,6.07
Sudeste,14,4.87
Sudeste,15,6.18
Sudeste,16,23.19
Sudeste,17,12.11
Sudeste,18,23.91
Sudeste,19,98.38
Sudeste,20,93.17
Sudeste,21,98.51
Sudeste,22,85.08
Sudeste,23,78.79
Sudeste,24,85.27
Sudeste,25,24.97
Sudeste,26,24.95
Sudeste,27,24.97
Sudeste,28,5.69
Sudeste,29,4.76
Sudeste,30,5.77
Sudeste,31,22.19
Sudeste,32,9.8
Sudeste,33,23.27
Sudeste,34,98.51
Sudeste,35,93.78
Sudeste,36,98.62
Sudeste,37,85.82
Sudeste,38,80.98
Sudeste,39,85.98
Sudeste,40,29.31
Sudeste,41,27.81
Sudeste,42,29.36
Sudeste,43,6.4
Sudeste,44,4.94
Sudeste,45,6.56
Minas Gerais,1,22.22
Minas Gerais,2,9.48
Minas Gerais,3,23.27
